restaurant_id,name,category,ratings,review_counts,zip_code
59c3Cp-p5i18xFCKUuCkFQ,La Vecchia Ristorante,Italian,3.5,288,M4P 2E7
u5FaT53p0rqRr9CI8an5RA,Formocha,Coffee & Tea,4.0,117,M4P 1G8
8J0NuWmoFfSGe5LuaiMfpg,Sake Bar Kushi,Japanese,4.0,133,M4R 1B1
HwRmXSukIsn_1KEpapYz0Q,Fuwa Fuwa Japanese Pancakes,Desserts,4.0,140,M4P 2H6
wL5yGvlL1zXZ4EPJ8d0hIA,Rolltation,Sushi Bars,4.0,98,M4P 2C6
cFyXbPxTAwKRlIqe-XLMcw,STACK,Barbeque,4.0,283,M4N 2L5
QNdNPr3f-WdESYo9WabWpw,Istanbul Cafe & Espresso Bar,Coffee & Tea,4.0,106,M4P 1A6
jVefoZbu5VF80CCB1Q2MaA,Little Sister,Indonesian,3.5,195,M4S 1Z9
sYSlKRCWmVeQr1hA6-WUzw,Fresh on Eglinton,Vegan,3.5,172,M4P 1A6
L-Yj3Y1bYKTSg4uE9KTVBw,Adamson Barbecue,Barbeque,4.5,312,M4G 2B6
LCb2moBNkcBto_32rmZJ5A,Echo Sushi,Sushi Bars,3.5,173,M4S 1Z9
3gdjVkNeUa9piW9H708Aig,The Olde Yorke,Seafood,4.5,258,M4G 3V3
Iw6HDyVxstrPz_r5ydnPXQ,Eggstatic,Breakfast & Brunch,4.5,86,M4G 3B7
